
date; open; high;low; close ; adj_close ; volume

Oct 22, 2024; 581.05; 582.48; 580.38; 582.01; 582.01; 9,139,384

Oct 21, 2024; 583.85; 584.85; 580.60; 583.63; 583.63; 36,389,900

Oct 18, 2024; 584.07; 585.39; 582.58; 584.59; 584.59; 37,416,800

Oct 17, 2024; 585.91; 586.12; 582.16; 582.35; 582.35; 34,393,700

Oct 16, 2024; 579.78; 582.83; 578.96; 582.30; 582.30; 30,725,400

Oct 15, 2024; 584.59; 584.90; 578.54; 579.78; 579.78; 54,203,600

Oct 14, 2024; 581.22; 585.27; 580.73; 584.32; 584.32; 36,217,200

Oct 11, 2024; 576.05; 580.33; 575.91; 579.58; 579.58; 42,268,000

Oct 10, 2024; 575.77; 577.58; 574.49; 576.13; 576.13; 44,138,100

Oct 9, 2024; 573.16; 577.71; 572.55; 577.14; 577.14; 37,912,200

Oct 8, 2024; 570.42; 573.78; 569.53; 573.17; 573.17; 37,398,700

Oct 7, 2024; 571.30; 571.96; 566.63; 567.80; 567.80; 49,964,700

Oct 4, 2024; 572.35; 573.36; 568.10; 572.98; 572.98; 42,939,100

Oct 3, 2024; 567.36; 569.80; 565.49; 567.82; 567.82; 40,846,500

Oct 2, 2024; 567.71; 569.90; 565.27; 568.86; 568.86; 38,097,800

Oct 1, 2024; 573.40; 574.06; 566.00; 568.62; 568.62; 72,668,800

Sep 30, 2024; 570.42; 574.38; 568.08; 573.76; 573.76; 63,557,400

Sep 27, 2024; 573.39; 574.22; 570.42; 571.47; 571.47; 42,100,900

Sep 26, 2024; 574.38; 574.71; 569.90; 572.30; 572.30; 48,336,000

Sep 25, 2024; 571.14; 571.89; 568.91; 570.04; 570.04; 38,428,600

Sep 24, 2024; 570.48; 571.36; 567.60; 571.30; 571.30; 46,805,700

Sep 23, 2024; 569.34; 570.33; 568.10; 569.67; 569.67; 44,116,900

Sep 20, 2024; 1.75 Dividend

Sep 20, 2024; 567.84; 569.31; 565.17; 568.25; 568.25; 77,503,100

Sep 19, 2024; 571.01; 572.88; 568.08; 570.98; 569.23; 75,315,500

Sep 18, 2024; 563.74; 568.69; 560.83; 561.40; 559.68; 59,044,900

Sep 17, 2024; 565.10; 566.58; 560.79; 563.07; 561.35; 49,321,000

Sep 16, 2024; 561.74; 563.11; 559.90; 562.84; 561.12; 36,656,100

Sep 13, 2024; 559.71; 563.03; 559.45; 562.01; 560.29; 39,310,500

Sep 12, 2024; 555.01; 559.40; 552.74; 559.09; 557.38; 51,892,700

Sep 11, 2024; 548.70; 555.36; 539.96; 554.42; 552.72; 75,248,600

Sep 10, 2024; 548.36; 549.15; 543.38; 548.79; 547.11; 36,394,600

Sep 9, 2024; 544.65; 547.71; 542.68; 546.41; 544.74; 40,445,800

Sep 6, 2024; 549.94; 551.60; 539.44; 540.36; 538.71; 68,493,800

Sep 5, 2024; 550.89; 553.80; 547.10; 549.61; 547.93; 44,264,300

Sep 4, 2024; 550.20; 554.43; 549.46; 550.95; 549.27; 47,224,900

Sep 3, 2024; 560.47; 560.81; 549.51; 552.08; 550.39; 60,600,100

Aug 30, 2024; 560.77; 564.20; 557.14; 563.68; 561.96; 62,700,100

Aug 29, 2024; 560.31; 563.68; 557.18; 558.35; 556.64; 38,715,200

Aug 28, 2024; 561.21; 561.65; 555.04; 558.30; 556.59; 41,066,000

Aug 27, 2024; 559.49; 562.06; 558.32; 561.56; 559.84; 32,693,900

Aug 26, 2024; 563.18; 563.91; 559.05; 560.79; 559.08; 35,788,600

Aug 23, 2024; 559.53; 563.09; 557.29; 562.13; 560.41; 50,639,400

Aug 22, 2024; 562.56; 563.18; 554.98; 556.22; 554.52; 56,121,500

Aug 21, 2024; 559.77; 562.11; 554.73; 560.62; 558.91; 41,514,600

Aug 20, 2024; 559.15; 560.84; 557.33; 558.70; 556.99; 33,732,300

Aug 19, 2024; 554.73; 559.61; 553.86; 559.61; 557.90; 39,121,800

Aug 16, 2024; 551.42; 555.02; 551.26; 554.31; 552.61; 44,430,700

Aug 15, 2024; 549.50; 553.36; 548.88; 553.07; 551.38; 60,846,800

Aug 14, 2024; 542.85; 544.96; 540.12; 543.75; 542.09; 42,446,900

Aug 13, 2024; 536.53; 542.28; 536.28; 542.04; 540.38; 52,333,100

Aug 12, 2024; 534.21; 535.73; 530.95; 533.27; 531.64; 42,542,100

Aug 9, 2024; 529.81; 534.51; 528.56; 532.99; 531.36; 45,619,600

Aug 8, 2024; 523.91; 531.29; 521.84; 530.65; 529.03; 63,276,600

Aug 7, 2024; 528.47; 531.59; 518.05; 518.66; 517.07; 70,698,300

Aug 6, 2024; 519.22; 529.75; 517.87; 522.15; 520.55; 84,826,300

Aug 5, 2024; 511.64; 523.58; 510.27; 517.38; 515.80; 146,267,400

Aug 2, 2024; 535.75; 536.99; 528.60; 532.90; 531.27; 82,789,100

Aug 1, 2024; 552.57; 554.87; 539.43; 543.01; 541.35; 76,428,700

Jul 31, 2024; 548.98; 553.50; 547.58; 550.81; 549.13; 65,663,400

Jul 30, 2024; 546.26; 547.34; 538.52; 542.00; 540.34; 46,853,600

Jul 29, 2024; 546.02; 547.05; 542.72; 544.76; 543.09; 39,515,800

Jul 26, 2024; 542.28; 547.19; 541.49; 544.44; 542.78; 53,763,800

Jul 25, 2024; 541.35; 547.46; 537.45; 538.41; 536.76; 61,158,300

Jul 24, 2024; 548.86; 549.17; 540.29; 541.23; 539.57; 74,515,300

Jul 23, 2024; 554.54; 556.74; 553.28; 553.78; 552.09; 34,439,600

Jul 22, 2024; 553.00; 555.27; 551.02; 554.65; 552.95; 43,346,700

Jul 19, 2024; 552.42; 554.08; 547.91; 548.99; 547.31; 65,509,100

Jul 18, 2024; 558.51; 559.52; 550.43; 552.66; 550.97; 56,270,400

Jul 17, 2024; 558.80; 560.51; 556.61; 556.94; 555.24; 57,119,000

Jul 16, 2024; 562.87; 565.16; 562.10; 564.86; 563.13; 36,475,300

